img;x1;y1;x2;y2
00000.ppm;323;211;464;338
00000.ppm;2;87;63;149
00000.ppm;799;310;862;376
00000.ppm;832;485;870;519
00000.ppm;568;390;709;532
00000.ppm;54;495;167;598
00000.ppm;832;483;871;519
00000.ppm;804;447;872;512
00000.ppm;1270;308;1358;388
00000.ppm;3;419;79;501
00000.ppm;808;377;866;441
00000.ppm;995;453;1085;542
00000.ppm;816;246;858;290
00000.ppm;804;447;872;519
00000.ppm;803;447;872;519
00000.ppm;630;478;720;557
00000.ppm;3;417;79;501
00001.ppm;1323;1;1358;33
00001.ppm;1259;2;1320;59
00001.ppm;1332;2;1357;28
00001.ppm;953;3;997;51
00001.ppm;1018;3;1045;31
00001.ppm;216;6;239;32
00001.ppm;939;6;963;28
00001.ppm;3;10;45;56
00001.ppm;914;10;939;36
00001.ppm;1209;12;1229;32
00001.ppm;1223;14;1240;33
00001.ppm;1325;16;1341;34
00001.ppm;838;22;857;39
00001.ppm;858;23;880;46
00001.ppm;48;26;80;56
00001.ppm;1281;26;1307;54
00001.ppm;991;31;1013;56
00001.ppm;105;46;120;63
00001.ppm;960;46;976;64
00001.ppm;131;50;165;89
00001.ppm;1317;54;1347;86
00001.ppm;224;55;244;75
00001.ppm;228;68;245;86
00001.ppm;1087;75;1122;106
00001.ppm;97;77;112;92
00001.ppm;171;80;195;101
00001.ppm;1219;87;1317;173
00001.ppm;1107;90;1168;149
00001.ppm;291;95;307;113
00001.ppm;175;101;214;145
00001.ppm;1153;108;1175;129
00001.ppm;969;125;996;153
00001.ppm;1197;130;1230;164
00001.ppm;1195;133;1220;157
00001.ppm;199;135;220;154
00001.ppm;1310;135;1343;168
00001.ppm;225;136;271;178
00001.ppm;1175;137;1206;167
00001.ppm;1183;139;1204;159
00001.ppm;1112;155;1129;172
00001.ppm;1133;163;1152;183
00001.ppm;189;169;211;189
00001.ppm;608;176;737;311
00001.ppm;1288;177;1304;194
00001.ppm;158;190;190;221
00001.ppm;348;192;377;219
00001.ppm;1203;196;1222;216
00001.ppm;1093;202;1108;217
00001.ppm;437;205;465;230
00001.ppm;99;210;133;240
00001.ppm;1247;219;1269;241
00001.ppm;299;221;335;254
00001.ppm;1174;227;1210;259
00001.ppm;1274;227;1298;254
00001.ppm;312;232;341;263
00001.ppm;386;239;424;273
00001.ppm;1140;260;1156;278
00001.ppm;377;266;560;441
00001.ppm;136;271;163;301
00001.ppm;755;287;786;314
00001.ppm;710;288;725;304
00001.ppm;201;305;244;348
00001.ppm;1035;317;1085;368
00001.ppm;1035;318;1084;368
00001.ppm;1036;318;1084;360
00001.ppm;1037;321;1083;362
00001.ppm;208;326;267;381
00001.ppm;970;337;1028;400
00001.ppm;1154;341;1185;372
00001.ppm;1198;357;1278;447
00001.ppm;476;372;559;445
00001.ppm;20;378;54;414
00001.ppm;1024;380;1050;403
00001.ppm;39;390;65;416
00001.ppm;987;392;1022;426
00001.ppm;762;394;856;476
00001.ppm;985;398;1020;431
00001.ppm;1087;405;1126;446
00001.ppm;114;413;130;429
00001.ppm;0;414;407;799
00001.ppm;2;415;65;482
00001.ppm;1006;432;1057;479
00001.ppm;36;442;61;465
00001.ppm;384;444;453;513
00001.ppm;818;445;834;463
00001.ppm;1112;453;1165;505
00001.ppm;1116;456;1163;500
00001.ppm;1117;457;1136;478
00001.ppm;1117;457;1164;500
00001.ppm;1141;457;1162;478
00001.ppm;913;458;963;506
00001.ppm;916;462;961;502
00001.ppm;420;483;519;574
00001.ppm;414;488;437;511
00001.ppm;390;496;438;550
00001.ppm;788;509;874;584
00001.ppm;1296;513;1340;555
00001.ppm;857;514;890;545
00001.ppm;640;519;669;550
00001.ppm;655;523;681;550
00001.ppm;1155;529;1187;559
00001.ppm;361;552;419;616
00001.ppm;1087;563;1119;592
00001.ppm;1195;133;1228;167
00001.ppm;1296;557;1359;629
00001.ppm;1015;517;1055;561
00001.ppm;476;355;560;445
00001.ppm;401;301;448;348
00001.ppm;1296;95;1325;125
00001.ppm;870;176;909;219
00001.ppm;337;163;374;200
00001.ppm;24;26;80;75
00001.ppm;2;79;90;175
00001.ppm;1197;110;1219;132
00001.ppm;1112;452;1167;505
00001.ppm;300;384;482;553
00001.ppm;995;125;1093;211
00001.ppm;105;497;195;592
00001.ppm;230;3;346;109
00001.ppm;300;368;482;553
00001.ppm;180;490;243;553
00001.ppm;1239;224;1298;291
00001.ppm;312;231;359;284
00001.ppm;0;0;370;413
00001.ppm;475;187;516;224
00001.ppm;230;3;348;130
00001.ppm;154;2;202;50
00001.ppm;1321;77;1358;111
00001.ppm;300;270;568;553
00001.ppm;740;496;796;549
00001.ppm;1018;3;1048;31
00001.ppm;1306;80;1357;136
00001.ppm;1096;166;1178;244
00001.ppm;384;426;467;515
00001.ppm;1183;1;1251;62
00001.ppm;1155;12;1210;66
00001.ppm;1057;108;1081;131
00001.ppm;1087;50;1137;106
00001.ppm;1292;3;1356;74
00001.ppm;1268;65;1303;104
00001.ppm;940;120;993;172
00001.ppm;1096;137;1206;244
00001.ppm;119;251;136;269
00001.ppm;130;139;155;166
00001.ppm;1090;137;1206;244
00001.ppm;96;492;204;595
00001.ppm;1209;12;1286;93
00001.ppm;102;252;147;303
00001.ppm;1311;28;1350;70
00001.ppm;1203;119;1231;144
00001.ppm;296;181;361;254
00001.ppm;808;357;840;385
00001.ppm;117;271;148;299
00001.ppm;6;33;49;74
00001.ppm;1219;99;1253;138
00001.ppm;85;1;273;207
00001.ppm;141;386;163;408
00001.ppm;1087;50;1138;106
00001.ppm;306;294;448;448
00001.ppm;1320;135;1347;159
00001.ppm;1140;255;1180;291
00001.ppm;73;195;88;211
00001.ppm;227;140;251;162
00001.ppm;227;140;254;168
00001.ppm;335;116;362;146
00001.ppm;1198;357;1282;447
00001.ppm;102;252;163;310
00001.ppm;951;349;1009;408
00001.ppm;1237;223;1357;344
00001.ppm;1192;119;1236;164
00001.ppm;1169;103;1236;164
00001.ppm;235;95;259;119
00001.ppm;1080;405;1126;453
00001.ppm;67;204;167;310
00001.ppm;1198;353;1282;447
00001.ppm;1119;223;1187;283
00001.ppm;1119;223;1187;286
00001.ppm;1119;223;1187;289
00001.ppm;1183;1;1251;66
00001.ppm;1183;1;1252;66
00001.ppm;1154;257;1197;304
00001.ppm;1149;257;1197;304
00001.ppm;1078;399;1126;453
00001.ppm;67;204;167;313
00001.ppm;1116;456;1164;500
00001.ppm;56;367;73;385
00001.ppm;1018;2;1048;31
00001.ppm;565;171;667;264
00001.ppm;915;460;961;503
00001.ppm;1193;124;1230;164
00001.ppm;953;51;1012;114
00001.ppm;893;264;947;315
00001.ppm;985;392;1022;426
00001.ppm;65;129;87;150
00001.ppm;386;239;425;273
00001.ppm;413;486;439;511
00001.ppm;1078;399;1127;453
00001.ppm;1116;456;1165;500
00001.ppm;893;264;947;316
00001.ppm;261;192;277;208
00001.ppm;261;191;277;208
00001.ppm;383;237;426;275
00002.ppm;725;0;890;181
00002.ppm;977;2;1043;65
00002.ppm;1265;2;1289;26
00002.ppm;1004;3;1028;25
00002.ppm;1015;3;1040;26
00002.ppm;1184;3;1305;136
00002.ppm;954;26;1000;73
00002.ppm;972;28;1004;61
00002.ppm;979;29;1012;64
00002.ppm;1062;41;1077;57
00002.ppm;1317;43;1355;77
00002.ppm;920;46;947;77
00002.ppm;986;56;1010;80
00002.ppm;1120;56;1291;206
00002.ppm;1323;75;1355;104
00002.ppm;941;87;966;111
00002.ppm;1259;95;1296;128
00002.ppm;908;100;945;137
00002.ppm;947;101;969;126
00002.ppm;921;116;943;140
00002.ppm;1277;121;1297;139
00002.ppm;1278;127;1300;150
00002.ppm;916;128;940;155
00002.ppm;985;129;1098;232
00002.ppm;1211;137;1289;221
00002.ppm;1162;160;1186;183
00002.ppm;1070;175;1092;197
00002.ppm;1286;184;1310;209
00002.ppm;1271;186;1300;214
00002.ppm;1055;190;1094;225
00002.ppm;101;216;119;236
00002.ppm;1261;247;1286;270
00002.ppm;1230;249;1261;283
00002.ppm;140;251;172;280
00002.ppm;1236;270;1281;315
00002.ppm;923;288;992;351
00002.ppm;1010;300;1067;364
00002.ppm;202;324;225;348
00002.ppm;888;329;924;364
00002.ppm;741;337;802;398
00002.ppm;347;339;415;406
00002.ppm;747;343;800;391
00002.ppm;590;363;610;383
00002.ppm;460;371;524;430
00002.ppm;195;389;219;414
00002.ppm;1247;415;1300;465
00002.ppm;646;417;671;439
00002.ppm;187;420;219;448
00002.ppm;783;434;858;500
00002.ppm;1096;438;1118;462
00002.ppm;788;444;808;462
00002.ppm;868;451;1000;587
00002.ppm;1100;465;1120;484
00002.ppm;897;481;1000;587
00002.ppm;1101;488;1120;508
00002.ppm;935;495;956;516
00002.ppm;1039;503;1083;548
00002.ppm;705;506;760;564
00002.ppm;708;507;750;548
00002.ppm;1124;530;1156;561
00002.ppm;160;545;187;573
00002.ppm;735;551;790;604
00002.ppm;546;552;594;595
00002.ppm;338;560;369;588
00002.ppm;3;578;46;624
00002.ppm;834;579;955;705
00002.ppm;635;671;652;689
00002.ppm;926;300;954;328
00002.ppm;195;389;223;420
00002.ppm;830;0;1087;229
00002.ppm;926;212;1059;328
00002.ppm;54;390;70;405
00002.ppm;704;507;750;548
00002.ppm;1159;230;1215;292
00002.ppm;1148;487;1210;550
00002.ppm;154;268;240;348
00002.ppm;154;268;240;354
00002.ppm;772;495;829;553
00002.ppm;1090;360;1109;381
00002.ppm;1148;230;1215;292
00002.ppm;315;363;381;433
00002.ppm;58;566;106;614
00002.ppm;908;1;1049;137
00002.ppm;908;1;1050;137
00002.ppm;926;190;1094;343
00002.ppm;324;339;415;439
00002.ppm;125;520;151;543
00002.ppm;753;498;779;527
00002.ppm;926;190;1094;351
00002.ppm;928;266;1005;338
00002.ppm;923;266;1005;338
00002.ppm;1166;154;1192;179
00002.ppm;978;29;1012;64
00002.ppm;954;26;1010;80
00002.ppm;140;251;240;354
00002.ppm;1110;56;1291;257
00002.ppm;1212;238;1286;318
00002.ppm;1118;123;1291;318
00002.ppm;1009;154;1070;220
00002.ppm;1003;477;1078;561
00002.ppm;1288;512;1334;558
00002.ppm;705;498;779;564
00002.ppm;824;240;858;279
00002.ppm;1247;415;1302;465
00002.ppm;1110;56;1332;257
00002.ppm;1110;54;1332;257
00002.ppm;1267;178;1300;214
00002.ppm;904;79;973;141
00002.ppm;794;633;829;668
00002.ppm;977;2;1049;67
00002.ppm;834;579;957;710
00002.ppm;824;240;860;279
00002.ppm;1109;54;1332;257
00002.ppm;1109;54;1332;294
00002.ppm;941;87;973;117
00002.ppm;747;343;803;395
00002.ppm;1099;461;1120;484
00002.ppm;741;337;804;398
00002.ppm;747;333;803;395
00002.ppm;741;333;804;398
00002.ppm;740;333;804;398
00003.ppm;1274;0;1359;80
00003.ppm;97;1;211;106
00003.ppm;1097;2;1115;22
00003.ppm;1092;3;1138;52
00003.ppm;1328;12;1356;37
00003.ppm;1226;14;1315;113
00003.ppm;178;18;209;45
00003.ppm;198;19;232;56
00003.ppm;53;28;79;51
00003.ppm;1223;29;1266;74
00003.ppm;155;31;179;54
00003.ppm;698;31;764;96
00003.ppm;204;32;310;131
00003.ppm;1287;34;1330;72
00003.ppm;1095;50;1142;101
00003.ppm;961;71;976;88
00003.ppm;29;72;77;117
00003.ppm;1341;73;1357;91
00003.ppm;973;75;990;94
00003.ppm;1131;75;1226;171
00003.ppm;888;82;923;113
00003.ppm;1028;82;1163;219
00003.ppm;1147;84;1164;102
00003.ppm;691;94;710;111
00003.ppm;1218;98;1250;127
00003.ppm;791;100;813;121
00003.ppm;150;110;189;152
00003.ppm;1028;112;1079;158
00003.ppm;126;113;146;136
00003.ppm;924;115;959;147
00003.ppm;312;119;341;145
00003.ppm;726;124;743;143
00003.ppm;1211;128;1228;146
00003.ppm;100;135;121;156
00003.ppm;829;137;848;154
00003.ppm;724;143;754;172
00003.ppm;904;143;956;201
00003.ppm;152;144;172;164
00003.ppm;661;146;678;163
00003.ppm;179;147;196;165
00003.ppm;985;148;1047;207
00003.ppm;1157;153;1185;179
00003.ppm;204;158;236;191
00003.ppm;247;161;268;182
00003.ppm;23;167;45;191
00003.ppm;1012;167;1112;260
00003.ppm;1147;167;1165;183
00003.ppm;1092;174;1129;208
00003.ppm;900;186;945;235
00003.ppm;617;187;645;214
00003.ppm;87;190;124;232
00003.ppm;383;190;408;214
00003.ppm;130;198;232;312
00003.ppm;135;202;156;226
00003.ppm;765;214;794;243
00003.ppm;729;222;758;249
00003.ppm;1022;234;1062;280
00003.ppm;1015;236;1056;273
00003.ppm;29;241;48;258
00003.ppm;444;242;465;263
00003.ppm;1103;246;1136;278
00003.ppm;1049;257;1091;302
00003.ppm;482;258;501;276
00003.ppm;1225;264;1246;287
00003.ppm;288;267;319;301
00003.ppm;901;272;924;293
00003.ppm;890;273;916;298
00003.ppm;961;275;980;293
00003.ppm;486;279;507;300
00003.ppm;91;287;115;309
00003.ppm;894;287;933;324
00003.ppm;901;303;955;358
00003.ppm;655;306;677;331
00003.ppm;176;307;192;324
00003.ppm;838;315;882;358
00003.ppm;753;317;795;356
00003.ppm;264;318;281;336
00003.ppm;128;319;154;347
00003.ppm;322;322;340;339
00003.ppm;669;334;688;351
00003.ppm;898;334;915;350
00003.ppm;994;338;1016;359
00003.ppm;814;348;877;415
00003.ppm;188;350;211;371
00003.ppm;1026;361;1051;387
00003.ppm;1061;361;1149;455
00003.ppm;706;367;788;452
00003.ppm;710;376;730;394
00003.ppm;812;379;828;397
00003.ppm;73;384;99;413
00003.ppm;1096;385;1156;450
00003.ppm;75;389;98;412
00003.ppm;971;393;1040;472
00003.ppm;293;396;339;442
00003.ppm;956;399;971;415
00003.ppm;730;416;745;431
00003.ppm;740;421;764;442
00003.ppm;319;438;343;462
00003.ppm;791;444;825;477
00003.ppm;1051;455;1097;501
00003.ppm;880;456;912;486
00003.ppm;90;463;114;484
00003.ppm;746;471;761;486
00003.ppm;21;474;52;508
00003.ppm;583;484;634;532
00003.ppm;901;489;933;517
00003.ppm;76;491;97;511
00003.ppm;859;491;899;530
00003.ppm;878;492;925;536
00003.ppm;95;495;113;512
00003.ppm;674;504;733;569
00003.ppm;560;505;588;537
00003.ppm;416;509;442;535
00003.ppm;931;510;951;529
00003.ppm;917;512;934;530
00003.ppm;1040;550;1074;584
00003.ppm;182;555;216;590
00003.ppm;1115;556;1145;585
00003.ppm;1003;559;1119;690
00003.ppm;18;574;44;599
00003.ppm;1161;574;1211;620
00003.ppm;3;576;46;618
00003.ppm;769;586;798;613
00003.ppm;1050;621;1114;682
00003.ppm;1169;626;1203;665
00003.ppm;1034;720;1059;744
00003.ppm;607;304;748;455
00003.ppm;259;396;343;470
00003.ppm;259;396;371;509
00003.ppm;607;304;756;455
00003.ppm;657;414;701;464
00003.ppm;814;2;944;117
00003.ppm;791;412;861;477
00003.ppm;1051;282;1093;327
00003.ppm;706;367;865;533
00003.ppm;787;348;877;437
00003.ppm;981;264;1060;337
00003.ppm;1049;277;1093;327
00003.ppm;649;176;742;265
00003.ppm;388;188;496;299
00003.ppm;985;112;1173;286
00003.ppm;984;112;1173;286
00003.ppm;648;62;713;136
00003.ppm;57;165;82;188
00003.ppm;259;396;381;509
00003.ppm;336;369;368;398
00003.ppm;744;513;829;593
00003.ppm;724;497;829;593
00003.ppm;257;396;381;509
00003.ppm;243;207;340;309
00003.ppm;267;403;289;428
00003.ppm;801;298;838;337
00003.ppm;130;198;260;324
00003.ppm;900;94;1037;235
00003.ppm;157;215;255;304
00003.ppm;109;73;189;164
00003.ppm;851;115;959;232
00003.ppm;836;115;959;241
00003.ppm;310;119;357;161
00003.ppm;155;21;189;54
00003.ppm;1068;3;1138;64
00003.ppm;172;361;210;402
00003.ppm;310;114;364;161
00003.ppm;873;270;896;293
00003.ppm;171;396;209;436
00003.ppm;11;256;54;298
00003.ppm;73;384;106;413
00003.ppm;884;511;998;629
00003.ppm;187;563;224;602
00003.ppm;172;361;210;403
00003.ppm;666;271;792;394
00003.ppm;641;464;671;498
00003.ppm;1200;126;1262;183
00003.ppm;1200;126;1262;184
00003.ppm;73;384;106;415
00003.ppm;654;414;701;464
00003.ppm;877;492;925;543
00003.ppm;193;118;227;151
00003.ppm;879;397;900;417
00003.ppm;120;319;167;372
00003.ppm;407;402;426;421
00003.ppm;1319;3;1356;37
00003.ppm;933;256;950;272
00003.ppm;729;34;748;51
00003.ppm;1083;155;1114;189
00003.ppm;1002;87;1026;108
00003.ppm;635;464;671;498
00003.ppm;666;271;796;394
00003.ppm;383;190;408;217
00003.ppm;1071;360;1156;450
00003.ppm;885;303;955;368
00003.ppm;774;479;814;521
00003.ppm;864;489;998;637
00003.ppm;764;214;794;243
00003.ppm;264;313;286;336
00003.ppm;180;197;206;226
00003.ppm;1012;167;1135;290
00003.ppm;838;315;883;358
00003.ppm;1062;360;1156;458
00003.ppm;1021;360;1156;503
00003.ppm;145;20;180;57
00003.ppm;751;170;770;190
00003.ppm;1283;136;1358;221
00003.ppm;1049;277;1105;327
00003.ppm;75;386;100;412
00003.ppm;1187;91;1213;114
00003.ppm;962;381;1046;472
00003.ppm;1187;91;1218;118
00003.ppm;243;206;262;225
00003.ppm;75;386;100;413
00003.ppm;1106;475;1154;518
00003.ppm;952;381;1046;472
00003.ppm;698;250;750;296
00003.ppm;53;28;79;53
00003.ppm;23;167;46;191
00003.ppm;836;459;869;495
00003.ppm;952;381;1046;474
00003.ppm;53;28;81;56
00003.ppm;1234;278;1357;391
00003.ppm;1194;278;1357;438
00003.ppm;1021;360;1163;503
00003.ppm;1287;34;1357;104
00003.ppm;20;474;52;509
00003.ppm;832;459;869;495
00003.ppm;318;304;337;321
00003.ppm;1097;2;1117;22
00003.ppm;20;474;52;510
00003.ppm;774;476;814;521
00003.ppm;194;18;221;47
00003.ppm;1278;680;1315;722
00003.ppm;1071;25;1102;54
00003.ppm;828;459;869;495
00003.ppm;1227;59;1261;91
00003.ppm;1169;626;1211;665
00003.ppm;835;258;889;314
00003.ppm;834;258;889;314
00004.ppm;472;1;502;33
00004.ppm;24;2;65;44
00004.ppm;130;2;157;32
00004.ppm;1335;2;1355;20
00004.ppm;47;3;101;56
00004.ppm;113;3;140;27
00004.ppm;191;3;209;23
00004.ppm;279;3;341;71
00004.ppm;439;3;457;21
00004.ppm;969;3;1000;37
00004.ppm;2;6;50;59
00004.ppm;1136;7;1207;80
00004.ppm;78;13;105;39
00004.ppm;1132;15;1165;47
00004.ppm;238;17;271;47
00004.ppm;999;17;1039;57
00004.ppm;41;23;59;42
00004.ppm;844;23;878;54
00004.ppm;1093;25;1118;47
00004.ppm;971;32;993;55
00004.ppm;1218;33;1246;60
00004.ppm;1250;39;1268;55
00004.ppm;761;41;801;77
00004.ppm;458;42;509;97
00004.ppm;1275;43;1300;65
00004.ppm;872;52;904;83
00004.ppm;174;53;194;75
00004.ppm;265;59;299;91
00004.ppm;1198;64;1236;100
00004.ppm;86;66;134;110
00004.ppm;1081;74;1099;93
00004.ppm;1025;80;1046;104
00004.ppm;323;84;394;158
00004.ppm;188;89;237;140
00004.ppm;858;89;929;156
00004.ppm;879;97;953;173
00004.ppm;494;99;515;121
00004.ppm;479;100;542;157
00004.ppm;680;105;722;145
00004.ppm;407;106;512;214
00004.ppm;145;107;182;147
00004.ppm;324;107;339;122
00004.ppm;860;107;877;126
00004.ppm;1128;107;1143;122
00004.ppm;63;108;104;147
00004.ppm;838;112;866;140
00004.ppm;3;114;128;225
00004.ppm;1084;117;1110;145
00004.ppm;521;129;548;155
00004.ppm;1;130;63;189
00004.ppm;609;136;690;226
00004.ppm;11;139;67;189
00004.ppm;1101;139;1122;159
00004.ppm;1316;147;1337;166
00004.ppm;41;154;68;179
00004.ppm;151;161;175;184
00004.ppm;1157;167;1175;183
00004.ppm;1211;174;1229;194
00004.ppm;90;183;109;202
00004.ppm;1040;189;1124;272
00004.ppm;209;193;253;237
00004.ppm;925;195;1026;291
00004.ppm;282;196;302;216
00004.ppm;469;199;484;214
00004.ppm;84;204;114;233
00004.ppm;894;205;942;249
00004.ppm;942;207;959;226
00004.ppm;1097;208;1113;225
00004.ppm;95;212;117;234
00004.ppm;488;214;531;258
00004.ppm;291;215;320;246
00004.ppm;890;216;906;231
00004.ppm;38;219;113;288
00004.ppm;258;219;278;237
00004.ppm;1171;219;1189;238
00004.ppm;938;221;972;255
00004.ppm;474;222;491;237
00004.ppm;472;225;501;252
00004.ppm;951;230;985;266
00004.ppm;587;233;622;265
00004.ppm;1080;238;1143;293
00004.ppm;141;247;175;284
00004.ppm;45;255;69;278
00004.ppm;523;264;547;291
00004.ppm;716;268;759;308
00004.ppm;603;275;635;303
00004.ppm;678;276;768;363
00004.ppm;520;281;604;365
00004.ppm;440;282;455;297
00004.ppm;124;292;245;407
00004.ppm;787;314;841;376
00004.ppm;477;315;512;349
00004.ppm;258;321;334;393
00004.ppm;676;327;719;371
00004.ppm;935;327;992;378
00004.ppm;582;328;648;398
00004.ppm;641;331;666;353
00004.ppm;69;341;92;362
00004.ppm;658;342;681;366
00004.ppm;76;343;102;366
00004.ppm;899;345;1059;494
00004.ppm;683;356;768;438
00004.ppm;553;357;579;381
00004.ppm;330;358;354;380
00004.ppm;882;360;924;397
00004.ppm;77;364;93;382
00004.ppm;779;369;798;386
00004.ppm;18;371;36;389
00004.ppm;160;373;209;424
00004.ppm;623;375;661;418
00004.ppm;540;376;558;394
00004.ppm;146;378;167;398
00004.ppm;362;381;415;429
00004.ppm;650;388;692;430
00004.ppm;321;393;344;419
00004.ppm;851;404;873;427
00004.ppm;878;404;917;440
00004.ppm;1153;422;1219;483
00004.ppm;279;427;316;469
00004.ppm;383;431;453;501
00004.ppm;824;433;875;482
00004.ppm;486;434;505;454
00004.ppm;670;448;727;512
00004.ppm;113;453;147;490
00004.ppm;644;455;687;498
00004.ppm;675;455;697;479
00004.ppm;455;458;482;483
00004.ppm;879;460;896;478
00004.ppm;583;463;629;514
00004.ppm;937;466;960;487
00004.ppm;413;467;440;498
00004.ppm;524;468;566;511
00004.ppm;461;473;493;505
00004.ppm;210;480;231;502
00004.ppm;237;480;255;497
00004.ppm;1183;489;1222;525
00004.ppm;796;493;815;512
00004.ppm;603;513;635;548
00004.ppm;1175;524;1197;547
00004.ppm;151;527;168;543
00004.ppm;936;561;1011;629
00004.ppm;311;770;344;799
00004.ppm;987;238;1109;346
00004.ppm;972;238;1109;379
00004.ppm;256;309;334;393
00004.ppm;678;276;773;363
00004.ppm;531;356;565;394
00004.ppm;654;340;681;366
00004.ppm;604;355;661;418
00004.ppm;1290;117;1337;166
00004.ppm;938;282;1009;352
00004.ppm;529;356;565;394
00004.ppm;1029;263;1150;382
00004.ppm;632;302;768;438
00004.ppm;632;291;768;438
00004.ppm;117;219;314;407
00004.ppm;486;415;526;454
00004.ppm;895;124;1056;291
00004.ppm;773;314;841;376
00004.ppm;1135;170;1197;227
00004.ppm;759;155;825;218
00004.ppm;38;219;113;305
00004.ppm;1;190;113;305
00004.ppm;706;349;740;385
00004.ppm;63;66;134;147
00004.ppm;3;261;91;341
00004.ppm;716;268;759;309
00004.ppm;715;367;798;458
00004.ppm;249;29;317;91
00004.ppm;160;331;256;424
00004.ppm;461;455;507;505
00004.ppm;132;273;196;345
00004.ppm;18;321;108;419
00004.ppm;671;451;697;479
00004.ppm;1040;167;1143;272
00004.ppm;1125;15;1165;55
00004.ppm;240;3;317;91
00004.ppm;1100;7;1207;113
00004.ppm;477;281;604;394
00004.ppm;450;253;604;394
00004.ppm;479;129;548;197
00004.ppm;773;314;841;378
00004.ppm;488;214;570;292
00004.ppm;1029;255;1167;382
00004.ppm;379;467;440;529
00004.ppm;2;37;104;129
00004.ppm;895;124;1056;298
00004.ppm;369;467;440;530
00004.ppm;374;107;416;144
00004.ppm;199;2;252;53
00004.ppm;650;448;697;489
00004.ppm;455;455;507;505
00004.ppm;666;413;703;449
00004.ppm;279;3;348;71
00004.ppm;938;282;1009;354
00004.ppm;477;415;589;518
00004.ppm;1089;17;1119;47
00004.ppm;1083;17;1119;50
00004.ppm;1111;237;1160;289
00004.ppm;279;3;353;71
00004.ppm;24;2;65;47
00004.ppm;880;253;916;293
00004.ppm;199;2;317;125
00004.ppm;907;24;1003;113
00004.ppm;644;455;688;503
00004.ppm;580;410;688;531
00004.ppm;1;37;104;129
00004.ppm;455;415;589;534
00004.ppm;860;89;909;133
00004.ppm;60;153;113;202
00004.ppm;1;13;105;129
00004.ppm;773;294;847;378
00004.ppm;328;3;345;19
00004.ppm;479;123;548;197
00004.ppm;845;274;878;311
00004.ppm;940;92;979;130
00004.ppm;609;136;696;226
00004.ppm;1218;33;1246;64
00004.ppm;578;328;661;418
00004.ppm;858;89;929;163
00004.ppm;3;3;130;120
00004.ppm;2;3;130;150
00004.ppm;40;66;134;170
00004.ppm;942;207;960;226
00004.ppm;479;119;548;197
00004.ppm;763;179;795;207
00004.ppm;875;380;916;421
00004.ppm;463;1;502;37
00004.ppm;501;427;548;480
00004.ppm;367;461;440;530
00004.ppm;1290;117;1356;186
00004.ppm;444;55;461;74
00004.ppm;799;411;925;524
00004.ppm;1064;238;1143;309
00004.ppm;753;521;869;632
00004.ppm;1304;297;1356;355
00004.ppm;1182;484;1241;544
00004.ppm;799;411;925;541
00004.ppm;876;404;917;441
00004.ppm;1101;139;1131;167
00004.ppm;938;282;1009;357
00004.ppm;45;255;88;295
00004.ppm;145;60;238;147
00004.ppm;451;415;589;544
00004.ppm;525;408;688;551
00004.ppm;113;431;179;490
00004.ppm;587;233;626;274
00004.ppm;851;404;873;429
00004.ppm;799;404;925;541
00004.ppm;451;410;589;544
00004.ppm;799;404;926;549
00004.ppm;924;11;1021;100
00004.ppm;935;282;1009;357
